hipparcos_id,ra_deg,dec_deg,mag,hp_mag
6590,21.16671871,-21.09534176,9.26,9.3787
6591,21.16775151,-34.14005687,6.69,6.8562
6592,21.16988856,-41.49245871,5.42,5.5784
6593,21.17147065,-0.97022645,7.56,7.6416
6594,21.17284749,33.02583019,9.26,9.4292
6595,21.1746774,-44.52852823,6.26,6.4274
6596,21.17787429,64.60000927,10.76,10.9043
6597,21.17877995,36.06409532,7.86,8.0231
6598,21.18317468,71.56994521,8.23,8.35
6599,21.18939039,-39.90746509,9.46,9.5965
6600,21.19213927,56.20043527,8.44,8.6026
6601,21.19489357,20.15873508,8.15,8.2826
6602,21.20065012,28.8569964,8.23,8.3854
6603,21.20264551,-10.43021539,7.79,7.9523
6604,21.20253096,39.41857469,8.73,8.8957
6605,21.20281088,-2.84852182,6.17,6.3263
6606,21.20349226,-6.98586067,7.39,7.4661
6607,21.20414711,-27.83837455,8.29,8.4303
6608,21.20561553,-26.26082711,9.77,9.9223
6609,21.20856236,-42.76445474,8.94,8.9483
6610,21.2134094,-24.52937791,10.04,10.1481
6611,21.22144409,54.9117297,8.01,8.0846
6612,21.22211293,-50.80823885,10.37,10.5237
6613,21.22336507,18.50039488,8.49,8.6505
6614,21.22736657,3.34944621,7.36,7.4026
6615,21.2297396,-39.92180515,9.06,9.2308
6616,21.23353024,-62.48104412,9.91,10.0613
6617,21.24289698,47.16890286,8.06,8.2306
6618,21.24452605,-79.89366932,9.79,9.9599
6619,21.24425965,63.88194346,9.89,10.015
6620,21.24596051,37.45492094,7.72,7.784
6621,21.2469795,6.2586126,8.49,8.6045
6622,21.24899424,-63.96116051,9.45,9.5441
6623,21.24918532,-24.50546128,10.28,10.3678
6624,21.25240614,-5.94640939,6.76,6.8326
6625,21.2535014,37.70350836,8.18,8.2116
6626,21.25687637,-32.85148024,9.8,9.8523
6627,21.2602256,-34.20501407,9.9,10.0293
6628,21.26227547,-45.61149945,8.91,9.0761
6629,21.26457967,0.269129,8.88,9.0461
6630,21.26705962,3.07076512,8.63,8.7594
6631,21.27198214,-64.36943615,5.92,6.0274
6632,21.2748795,54.39072364,9.29,9.3623
6633,21.27812722,45.60861222,8.19,8.2582
6634,21.28082508,-39.37815198,7.55,7.7174
6635,21.28266528,60.55840879,8.56,8.5935
6636,21.2846935,35.73315398,7.66,7.8244
6637,21.28588036,58.24538413,8.25,8.3885
6638,21.28642776,5.45490504,8.63,8.7187
6639,21.29000632,-1.0589722,9.48,9.6115
6640,21.30008372,22.96730232,8.47,8.583
6641,21.29923961,-79.89606492,8.56,8.7287
6642,21.30102689,20.01602145,9.13,9.2062
6643,21.30145428,28.5670789,7.12,7.2497
6644,21.30324726,-16.91086029,9.66,9.7914
6645,21.31716438,61.70939348,8.84,8.9144
6646,21.323314,-13.65777948,8.92,9.0363
6647,21.32591852,-14.99411812,7.77,7.9338
6648,21.32911097,20.3495866,7.92,7.9409
6649,21.32962323,16.25708176,6.99,7.1018
6650,21.3313793,51.68284688,8.2,8.2501
6651,21.33265712,-59.49868143,7.07,7.1572
6652,21.33275063,-59.49165512,9.61,9.5248
6653,21.33361091,1.46100432,7.38,7.5223
6654,21.3341726,-5.02837004,9.15,9.2582
6655,21.33710017,-51.2763761,8.63,8.7969
6656,21.33891048,-12.14495356,9.19,9.2972
6657,21.35297895,-80.87039425,8.8,8.959
6658,21.35425941,38.77808964,8.97,9.0767
6659,21.36514005,-28.78219742,8.34,8.4073
6660,21.36848986,12.15619473,10.29,10.4383
6661,21.36895273,74.11529872,7.76,7.8329
6662,21.37055756,-53.54471213,9.3,9.3954
6663,21.37756292,41.35244603,8.05,8.1172
6664,21.37885018,-26.45768793,8.93,9.0043
6665,21.38185383,63.5938516,9.07,9.1791
6666,21.38583145,-57.1408372,9.19,9.3531
6667,21.38822805,54.95665499,8.72,8.7831
6668,21.39238173,31.55053101,8.02,8.1477
6669,21.39856854,23.51157322,6.18,6.2851
6670,21.40503868,-14.59875443,4.9,5.0612
6671,21.40566912,45.13338672,8.79,8.9594
6672,21.40727018,-38.18211492,8.87,8.9292
6673,21.40794582,-13.38891994,8.12,8.2836
6674,21.40936312,-24.69190755,10.21,10.3028
6675,21.41018151,31.54628798,8.03,8.1746
6676,21.41198718,-65.56552691,8.71,8.875
6677,21.41633539,-67.41562133,8.34,8.4982
6678,21.41696766,26.87832198,9.01,9.1428
6679,21.41935044,2.97208527,6.99,7.0805
6680,21.42018349,47.11853265,7.61,7.7759
6681,21.42222496,55.97429227,9.54,9.5624
6682,21.42269836,44.78657715,7.25,7.4179
6683,21.43000948,36.35742058,7.62,7.7345
6684,21.43388607,-59.33461731,8.54,8.7604
6685,21.44292759,70.97992146,6.34,6.3502
6686,21.45251246,60.23540367,2.66,2.7146
6687,21.46803731,-3.92732664,6.5,6.6542
6688,21.47240639,-27.06127648,10.42,10.559
6689,21.47746594,49.23076869,8.12,8.1976
6690,21.47986777,-8.50433654,6.57,6.7399
6691,21.48246374,-35.75089276,9.46,9.5819
6692,21.48293395,68.12994732,4.72,4.8899
6693,21.48385558,-47.89856854,7.86,7.9726
6694,21.4888875,13.24834175,10.63,10.7654
6695,21.49255944,10.40696098,7.21,7.238
6696,21.50232084,-45.89354126,8.06,8.2101
6697,21.50854267,52.38876421,9.04,9.2064
6698,21.51415765,-17.31012112,9.36,9.5013
6699,21.52080912,-22.79838937,7.11,7.2688
6700,21.5260229,-2.20091239,7.59,7.7504
6701,21.52736649,50.25555971,11.01,10.9991
6702,21.5359087,34.57990688,6.34,6.4536
6703,21.53871988,-67.84233953,8.39,8.5377
6704,21.55441322,-38.46916934,8.84,8.9628
6705,21.55721806,13.81647586,11.96,12.0754
6706,21.56366122,19.17232091,5.35,5.4375
6707,21.56880011,-13.89363965,8.12,8.2084
6708,21.56948295,-75.34581803,9.93,10.0389
6709,21.57009209,42.31128453,7.23,7.3014
6710,21.57317657,17.1266083,8.3,8.4655
6711,21.57749579,43.45788624,5.98,6.0921
6712,21.58026802,-4.6738573,8.14,8.2833
6713,21.58243531,47.71369911,9.26,9.2874
6714,21.59817613,20.07090179,6.44,6.6001
6715,21.60492992,-0.44416422,8.37,8.4909
6716,21.6085841,-16.52823719,9.74,9.8562
6717,21.61382571,-0.39898617,6.42,6.5887
6718,21.61856682,77.6787571,7.76,7.8758
6719,21.6198879,-32.55184171,9.35,9.4876
6720,21.62004628,9.53107923,9.81,9.9792
6721,21.62053381,-30.27560404,7.46,7.6222
6722,21.62972103,18.20307572,8.57,8.7169
6723,21.63423888,-49.72116231,9.68,9.7901
6724,21.63444981,13.95916556,8.39,8.5375
6725,21.63461011,53.13007958,7.74,7.9068
6726,21.64473254,-65.7749491,11.78,11.7947
6727,21.66016,-6.33852011,11.13,11.1074
6728,21.66650913,-54.9269972,10.47,10.5378
6729,21.66882972,69.25067268,9.51,9.6318
6730,21.67106708,11.38213041,11.68,11.7824
6731,21.67191013,7.43730661,8.87,9.0303
6732,21.67352947,19.24056465,5.5,5.6657
6733,21.67921475,43.69197056,6.9,6.9916
6734,21.68027131,62.87555248,9.42,9.5209
6735,21.68237558,-40.48321176,7.65,7.7955
6736,21.68242412,27.24670393,6.75,6.9206
6737,21.68332966,70.38729318,8.22,8.3481
6738,21.68576091,8.6035793,8.71,8.8785
6739,21.68952254,-34.16118469,9.04,9.2003
6740,21.69720109,-8.58711391,8.34,8.4153
6741,21.6983087,23.31021322,8.65,8.8023
6742,21.70281323,-36.38247689,8.92,8.9739
6743,21.70438319,67.06891889,8.8,8.8549
6744,21.70511683,-29.47450652,8.41,8.5504
6745,21.70950412,45.67745353,7.55,7.534
6746,21.71120571,-19.64245274,8.26,8.4268
6747,21.71369296,57.43695568,10.0,10.0668
6748,21.71481849,-13.05653364,5.51,5.5926
6749,21.71994227,-49.26203871,8.47,8.6346
6750,21.72137603,1.29766885,10.29,10.459
6751,21.72311883,3.53568633,6.59,6.5818
6752,21.72422611,37.49240862,7.52,7.6385
6753,21.72453043,37.29662668,8.07,8.2367
6754,21.72541717,27.50717764,8.65,8.79
6755,21.73595364,-62.96619549,9.59,9.7152
6756,21.73769662,-51.52033302,7.53,7.6944
6757,21.74047437,-74.73912513,10.84,11.0038
6758,21.74111987,-30.96056362,9.67,9.8079
6759,21.74208418,-32.54310053,6.57,6.4116
6760,21.74178986,-41.74736849,6.67,6.8182
6761,21.74394797,-30.96953347,8.96,9.089
6762,21.75571839,-0.15671696,7.96,8.0958
6763,21.75530798,-6.34900398,9.02,9.1816
6764,21.75662262,11.36733257,8.34,8.5001
6765,21.75774207,-64.57971004,9.33,9.501
6766,21.7595932,-23.30583231,9.6,9.7091
6767,21.76024361,34.63906191,8.08,8.2461
6768,21.76025319,-55.08171628,8.19,8.2885
6769,21.76373428,-20.4915274,7.03,7.1524
6770,21.76876759,-55.68610264,9.03,9.1877
6771,21.77026682,-30.23582074,6.71,6.8725
6772,21.77289942,-51.96595727,8.09,8.2186
6773,21.77320176,25.43979145,7.22,7.3372
6774,21.77388078,66.97422864,9.28,9.4109
6775,21.77461721,57.72181374,8.55,8.586
6776,21.77589513,34.37757828,6.27,6.3698
6777,21.78242595,2.1294528,9.03,9.1443
6778,21.78482617,41.18666524,8.74,8.8802
6779,21.78793378,64.7109322,8.22,8.2982
6780,21.79287413,-56.43039693,8.68,8.784
6781,21.80532423,-41.24854706,8.75,8.8593
6782,21.80986415,39.65449526,7.9,8.0079
6783,21.8193133,3.80551948,7.64,7.8126
6784,21.82642965,65.77280592,9.18,9.2356
6785,21.83392035,46.97012657,9.18,9.2874
6786,21.83518212,29.77109046,7.27,7.3665
6787,21.83970693,49.53755604,8.31,8.3134
6788,21.84042809,6.9624488,8.29,8.4567
6789,21.84712824,-22.33802705,6.43,6.5929
6790,21.84909809,0.05774098,8.44,8.5287
6791,21.85479342,-20.35186145,6.89,6.9985
6792,21.85614304,6.41593284,8.72,8.8021
6793,21.85966633,60.2844826,7.89,7.9928
6794,21.86110567,41.10109789,6.42,6.4937
6795,21.86346005,-25.93656337,9.14,9.2821
6796,21.86457958,23.24458809,9.78,9.9455
6797,21.8678336,-9.29707414,6.86,7.0006
6798,21.86986191,-7.3445279,8.51,8.6777
6799,21.87226867,-45.84624425,6.96,7.0974
6800,21.8728172,4.46199203,9.06,9.13
6801,21.87448011,30.51166023,8.0,8.0986
6802,21.8778344,-43.93401035,9.85,9.9802
6803,21.88709743,16.78785692,8.62,8.7559
6804,21.8927161,-52.04486455,10.98,11.1137
6805,21.89440405,3.87770474,8.61,8.7761
6806,21.89682993,-46.1516747,7.71,7.7424
6807,21.89716417,-24.94390508,10.4,10.5312
6808,21.90119378,21.7081715,8.99,9.1545
6809,21.9040977,51.80886187,8.08,8.2489
6810,21.90651316,-48.50302059,8.42,8.588
6811,21.9071737,66.07696946,6.98,7.0681
6812,21.91238134,-71.70424182,7.26,7.4185
6813,21.91285482,45.40695276,4.83,4.9223
6814,21.91414089,31.10046096,8.51,8.5889
6815,21.91589323,5.35312068,7.01,7.1505
6816,21.92163644,-39.14226204,8.24,8.383
6817,21.92667751,35.40181855,8.74,8.851
6818,21.92766417,9.88088583,11.94,12.0455
6819,21.92805953,31.96676058,6.78,6.9461
6820,21.93595092,62.77342945,8.91,8.9729
6821,21.93712749,-75.04353019,7.58,7.6514
6822,21.94348581,-10.90162046,6.13,6.2781
6823,21.94535217,40.3358248,6.59,6.5853
6824,21.9458313,-70.85730515,8.59,8.7052
6825,21.95110609,-28.89490228,8.36,8.5186
6826,21.95428616,-4.46837543,9.28,9.3749
6827,21.95468921,-37.66814602,8.55,8.6534
6828,21.96530868,-79.0405871,7.97,8.1397
6829,21.96868074,48.61135853,9.58,9.639
6830,21.976579,25.68198777,8.41,8.5064
6831,21.97865341,59.23581162,9.95,10.0296
6832,21.98062933,-3.57333122,7.83,7.9429
